,Country,Date,Gold Price per tr oz
463,Canada,2020-04-08,2316.5
464,Canada,2020-04-09,2345.6
465,Canada,2020-04-10,2345.6
466,Canada,2020-04-11,2345.6
467,Canada,2020-04-12,2345.6
468,Canada,2020-04-13,2348.2
469,Canada,2020-04-14,2419.3
470,Canada,2020-04-15,2419.2
471,Canada,2020-04-16,2442.9
472,Canada,2020-04-17,2375.7
473,Canada,2020-04-18,2375.7
474,Canada,2020-04-19,2375.7
475,Canada,2020-04-20,2370.0
476,Canada,2020-04-21,2388.6
477,Canada,2020-04-22,2420.9
478,Canada,2020-04-23,2434.3
479,Canada,2020-04-24,2417.1
480,Canada,2020-04-25,2417.1
481,Canada,2020-04-26,2417.1
482,Canada,2020-04-27,2409.2
483,Canada,2020-04-28,2367.8
484,Canada,2020-04-29,2372.5
485,Canada,2020-04-30,2365.0
486,Canada,2020-05-01,2373.7
487,Canada,2020-05-02,2373.7
488,Canada,2020-05-03,2373.7
489,Canada,2020-05-04,2406.8
490,Canada,2020-05-05,2389.1
491,Canada,2020-05-06,2390.8
492,Canada,2020-05-07,2389.9
493,Canada,2020-05-08,2373.1
494,Canada,2020-05-09,2373.1
495,Canada,2020-05-10,2373.1
496,Canada,2020-05-11,2387.1
497,Canada,2020-05-12,2382.2
498,Canada,2020-05-13,2402.9
499,Canada,2020-05-14,2441.4
500,Canada,2020-05-15,2442.8
501,Canada,2020-05-16,2442.8
502,Canada,2020-05-17,2442.8
503,Canada,2020-05-18,2427.4
504,Canada,2020-05-19,2411.7
505,Canada,2020-05-20,2426.6
506,Canada,2020-05-21,2405.2
507,Canada,2020-05-22,2432.5
508,Canada,2020-05-23,2432.5
509,Canada,2020-05-24,2432.5
510,Canada,2020-05-25,2423.7
511,Canada,2020-05-26,2374.6
512,Canada,2020-05-27,2341.9
513,Canada,2020-05-28,2363.2
514,Canada,2020-05-29,2389.4
515,Canada,2020-05-30,2389.4
516,Canada,2020-05-31,2389.4
517,Canada,2020-06-01,2357.1
518,Canada,2020-06-02,2349.7
519,Canada,2020-06-03,2300.3
520,Canada,2020-06-04,2292.7
521,Canada,2020-06-05,2257.4
522,Canada,2020-06-06,2257.4
523,Canada,2020-06-07,2257.4
524,Canada,2020-06-08,2263.0
525,Canada,2020-06-09,2300.4
526,Canada,2020-06-10,2312.7
527,Canada,2020-06-11,2355.0
528,Canada,2020-06-12,2359.1
529,Canada,2020-06-13,2359.1
530,Canada,2020-06-14,2359.1
531,Canada,2020-06-15,2330.1
532,Canada,2020-06-16,2341.0
533,Canada,2020-06-17,2337.3
534,Canada,2020-06-18,2333.9
535,Canada,2020-06-19,2353.5
