"Date","Price","Open","High","Low","Change %"
"Oct 15, 2019","13.6182","14.0058","14.0756","13.5838","-2.78%"
"Oct 14, 2019","14.0070","13.9123","14.1038","13.8111","0.92%"
"Oct 11, 2019","13.8791","14.0785","14.2677","13.6753","-1.40%"
"Oct 10, 2019","14.0767","14.5297","14.6594","14.0337","-3.12%"
"Oct 09, 2019","14.5297","14.5108","14.6903","14.4470","0.13%"
"Oct 08, 2019","14.5102","14.1799","14.5931","14.0489","2.33%"
"Oct 07, 2019","14.1799","14.2463","14.3173","14.0950","-0.41%"
"Oct 04, 2019","14.2382","14.2342","14.3226","14.0560","0.00%"
"Oct 03, 2019","14.2382","14.2578","14.4486","14.0997","-0.17%"
"Oct 02, 2019","14.2625","14.0112","14.3684","13.9793","1.83%"
"Oct 01, 2019","14.0061","13.8371","14.1701","13.7336","1.24%"
"Sep 30, 2019","13.8342","14.2846","14.3260","13.7666","-3.15%"
"Sep 27, 2019","14.2846","14.4660","14.5374","14.0336","-1.25%"
"Sep 26, 2019","14.4649","14.4985","14.6270","14.3488","-0.28%"
"Sep 25, 2019","14.5049","14.8959","15.0108","14.4249","-2.62%"
"Sep 24, 2019","14.8959","14.9972","15.0906","14.6205","-0.66%"
"Sep 23, 2019","14.9948","14.4364","15.0543","14.3758","4.10%"
"Sep 20, 2019","14.4042","14.1939","14.4329","14.1762","1.43%"
"Sep 19, 2019","14.2008","14.2287","14.3795","14.1132","-0.20%"
"Sep 18, 2019","14.2299","14.4137","14.4618","14.0597","-1.28%"
"Sep 17, 2019","14.4149","14.3507","14.4757","14.2892","0.39%"
"Sep 16, 2019","14.3588","13.9464","14.4974","13.9358","2.96%"
"Sep 13, 2019","13.9464","14.6731","14.6909","13.9172","-4.96%"
"Sep 12, 2019","14.6743","14.6998","15.0068","14.5660","-0.15%"
"Sep 11, 2019","14.6962","14.5848","14.7724","14.5097","0.76%"
"Sep 10, 2019","14.5854","14.5785","14.7148","14.3877","0.05%"
"Sep 09, 2019","14.5785","14.7762","14.9262","14.5297","-1.54%"
"Sep 06, 2019","14.8062","15.1245","15.2776","14.6270","-2.08%"
"Sep 05, 2019","15.1214","15.9927","16.0128","15.0091","-5.45%"
"Sep 04, 2019","15.9927","15.9485","16.2020","15.7325","0.34%"
"Sep 03, 2019","15.9378","15.3145","15.9766","15.2102","4.08%"
"Sep 02, 2019","15.3132","15.1282","15.3989","15.0144","1.29%"
"Aug 30, 2019","15.1177","14.9958","15.1958","14.8287","0.89%"
"Aug 29, 2019","14.9836","15.0357","15.3085","14.8020","-0.35%"
"Aug 28, 2019","15.0357","14.7986","15.1777","14.7100","1.59%"
"Aug 27, 2019","14.7998","14.4567","14.8295","14.4216","2.38%"
"Aug 26, 2019","14.4562","14.2297","14.5607","14.1985","1.86%"
"Aug 23, 2019","14.1915","13.9131","14.2556","13.8609","2.01%"
"Aug 22, 2019","13.9120","14.1202","14.1597","13.8900","-1.47%"
"Aug 21, 2019","14.1202","14.1044","14.1868","13.9922","0.10%"
"Aug 20, 2019","14.1064","13.9193","14.1868","13.8928","1.34%"
"Aug 19, 2019","13.9193","14.0805","14.1266","13.8890","-1.15%"
"Aug 16, 2019","14.0817","14.2858","14.3631","14.0176","-1.40%"
"Aug 15, 2019","14.2816","14.2721","14.4276","14.0949","0.06%"
"Aug 14, 2019","14.2732","14.0680","14.3792","13.9920","1.46%"
"Aug 13, 2019","14.0686","14.1361","14.5251","13.6937","-0.48%"
"Aug 12, 2019","14.1367","14.0812","14.2169","13.9291","0.16%"
"Aug 09, 2019","14.1136","13.9611","14.1416","13.9073","1.11%"
"Aug 08, 2019","13.9584","14.0962","14.1571","13.8638","-0.97%"
"Aug 07, 2019","14.0957","13.5210","14.2108","13.5063","4.23%"
"Aug 06, 2019","13.5232","13.4974","13.5980","13.3893","0.18%"
"Aug 05, 2019","13.4986","13.3569","13.6905","13.2386","1.16%"
"Aug 02, 2019","13.3438","13.4599","13.4953","13.2168","-0.88%"
"Aug 01, 2019","13.4627","13.3835","13.5005","13.1307","0.63%"
"Jul 31, 2019","13.3785","13.6318","13.6996","13.3284","-1.88%"
"Jul 30, 2019","13.6351","13.4711","13.6708","13.4281","1.21%"
"Jul 29, 2019","13.4717","13.2382","13.4904","13.2000","1.73%"
"Jul 26, 2019","13.2424","13.1736","13.3055","13.1263","0.55%"
"Jul 25, 2019","13.1697","13.2935","13.3521","13.1150","-0.93%"
"Jul 24, 2019","13.2930","13.1883","13.3359","13.1281","0.79%"
"Jul 23, 2019","13.1894","13.1124","13.3021","12.9761","0.62%"
"Jul 22, 2019","13.1087","12.9632","13.1953","12.9250","1.16%"
"Jul 19, 2019","12.9585","13.0281","13.2556","12.8577","-0.50%"
"Jul 18, 2019","13.0233","12.8413","13.0476","12.8008","1.42%"
"Jul 17, 2019","12.8413","12.5453","12.8727","12.5042","2.36%"
"Jul 16, 2019","12.5453","12.2913","12.6718","12.2245","2.06%"
"Jul 15, 2019","12.2922","12.1128","12.3240","12.0576","1.53%"
"Jul 12, 2019","12.1074","12.0746","12.1539","11.9920","0.29%"
"Jul 11, 2019","12.0722","12.1955","12.2523","12.0510","-1.01%"
"Jul 10, 2019","12.1955","12.1159","12.2316","12.0608","0.66%"
